conf-mingw-w64-nettle-x86_64|conf-mingw-w64-nettle-x86_64.1|yes|yes|Nettle for x86_64 mingw-w64
conf-mingw-w64-openssl-i686|conf-mingw-w64-openssl-i686.1|yes|yes|libssl for i686 mingw-w64 (32-bit x86)
conf-mingw-w64-openssl-x86_64|conf-mingw-w64-openssl-x86_64.1|yes|yes|libssl for x86_64 mingw-w64 (64-bit x86_64)
conf-mingw-w64-pcre-i686|conf-mingw-w64-pcre-i686.1|yes|yes|Libpcre for i686 mingw-w64 (32-bit x86)
conf-mingw-w64-pcre-x86_64|conf-mingw-w64-pcre-x86_64.1|yes|yes|Libpcre for x86_64 mingw-w64 (64-bit x86_64)
conf-mingw-w64-pcre2-i686|conf-mingw-w64-pcre2-i686.1|yes|yes|Libpcre2 for i686 mingw-w64 (32-bit x86)
conf-mingw-w64-pcre2-x86_64|conf-mingw-w64-pcre2-x86_64.1|yes|yes|Libpcre2 for x86_64 mingw-w64 (64-bit x86_64)
conf-mingw-w64-pkgconf-i686|conf-mingw-w64-pkgconf-i686.1|yes|yes|Virtual package for pkgconf on i686 mingw-w64 (32-bit x86)
conf-mingw-w64-pkgconf-x86_64|conf-mingw-w64-pkgconf-x86_64.1|yes|yes|Virtual package for pkgconf on x86_64 mingw-w64 (64-bit x86_64)
conf-mingw-w64-postgresql-i686|conf-mingw-w64-postgresql-i686.1|yes|yes|Postgresql for i686 mingw-w64 (32-bit x86)
conf-mingw-w64-postgresql-x86_64|conf-mingw-w64-postgresql-x86_64.1|yes|yes|Postgresql for x86_64 mingw-w64 (64-bit x86_64)
conf-mingw-w64-sdl2-i686|conf-mingw-w64-sdl2-i686.1|yes|yes|sdl2 for i686 mingw-w64
conf-mingw-w64-sdl2-x86_64|conf-mingw-w64-sdl2-x86_64.1|yes|yes|sdl2 for x86_64 mingw-w64
conf-mingw-w64-sqlite3-i686|conf-mingw-w64-sqlite3-i686.1|yes|yes|sqlite3 for i686 mingw-w64 (32-bit x86)
conf-mingw-w64-sqlite3-x86_64|conf-mingw-w64-sqlite3-x86_64.1|yes|yes|sqlite3 for x86_64 mingw-w64 (64-bit x86_64)
conf-mingw-w64-zlib-i686|conf-mingw-w64-zlib-i686.1|yes|yes|Virtual package for zlib on i686 mingw-w64 (32-bit x86)
conf-mingw-w64-zlib-x86_64|conf-mingw-w64-zlib-x86_64.1|yes|yes|Virtual package for zlib on x86_64 mingw-w64 (64-bit x86_64)
conf-mingw-w64-zstd-i686|conf-mingw-w64-zstd-i686.1|yes|yes|Virtual package for libzstd on i686 mingw-w64 (32-bit x86)
conf-mingw-w64-zstd-x86_64|conf-mingw-w64-zstd-x86_64.1|yes|yes|Virtual package for libzstd on x86_64 mingw-w64 (64-bit x86_64)
conf-mpfr|conf-mpfr.3|yes|yes|Virtual package relying on library MPFR installation
conf-mpfr-paths|conf-mpfr-paths.1|no|yes|Virtual package relying on library MPFR installation
conf-mpi|conf-mpi.1|yes|yes|Virtual package relying on a mpi system installation
conf-msvc32|conf-msvc32.1|no|no|Microsoft C Compiler Environment Settings (32-bit x86)
