conf-libxcursor|conf-libxcursor.1|pkgcfg=yes|deb=libxcursor-dev|brew=libxcursor|Virtual package relying on an libXcursor system installation
conf-libxi|conf-libxi.1|pkgcfg=yes|deb=libxi-dev|brew=libxi|Virtual package relying on an libXi system installation
conf-libxinerama|conf-libxinerama.1|pkgcfg=yes|deb=libxinerama-dev|brew=libxinerama|Virtual package relying on an libXinerama system installation
conf-libxrandr|conf-libxrandr.1|pkgcfg=yes|deb=libxrandr-dev|brew=libxrandr|Virtual package relying on an libXRandR system installation
conf-lilv|conf-lilv.1|pkgcfg=no|deb=liblilv-dev|brew=lilv|Virtual package relying on lilv
conf-linux-libc-dev|conf-linux-libc-dev.0|pkgcfg=no|deb=linux-libc-dev|brew=|synopsis:
conf-lldb|conf-lldb.3.5|pkgcfg=no|deb=liblldb-3.5-dev|brew=|synopsis:
conf-llvm|conf-llvm.17|pkgcfg=no|deb=llvm-17-dev|brew=llvm@17|Virtual package relying on llvm library installation
conf-llvm-shared|conf-llvm-shared.18|pkgcfg=no|deb=llvm-18-dev|brew=llvm@18|Virtual package relying on llvm shared library installation
conf-llvm-static|conf-llvm-static.18|pkgcfg=no|deb=llvm-18-dev|brew=llvm@18|Virtual package relying on llvm static library installation
conf-lua|conf-lua.1|pkgcfg=yes|deb=liblua5.2-dev|brew=|Virtual package relying on a Lua system installation
conf-mad|conf-mad.2|pkgcfg=yes|deb=libmad0-dev|brew=mad|Virtual package relying on mad
conf-mariadb|conf-mariadb.2|pkgcfg=yes|deb=libmariadb-dev|brew=mariadb-connector-c|synopsis:
conf-mbedtls|conf-mbedtls.2|pkgcfg=no|deb=libmbedtls-dev|brew=cc|Virtual package relying on an mbedtls system installation
conf-mecab|conf-mecab.0.996|pkgcfg=no|deb=mecab|brew=mecab|Virtual package relying on MeCab library installation
conf-mesa|conf-mesa.1|pkgcfg=yes|deb=libgl1-mesa-dev|brew=mesa|Virtual package relying on an mesa system installation
conf-mpfr|conf-mpfr.3|pkgcfg=yes|deb=libmpfr-dev|brew=mpfr|Virtual package relying on library MPFR installation
conf-mpfr-paths|conf-mpfr-paths.1|pkgcfg=no|deb=libmpfr-dev|brew=|Virtual package relying on library MPFR installation
conf-mpi|conf-mpi.1|pkgcfg=yes|deb=mpi-default-dev|brew=open-mpi|Virtual package relying on a mpi system installation
conf-mysql|conf-mysql.1|pkgcfg=no|deb=default-libmysqlclient-dev|brew=mysql|Virtual package relying on a libmysqlclient system installation
conf-nanomsg|conf-nanomsg.0|pkgcfg=yes|deb=libnanomsg-dev|brew=nanomsg|Virtual package relying on a nanomsg system installation
conf-nauty|conf-nauty.1.0|pkgcfg=yes|deb=libnauty2-dev|brew=nauty|Virtual package relying on nauty
conf-ncurses|conf-ncurses.1|pkgcfg=yes|deb=ncurses-dev|brew=|Virtual package relying on ncurses
conf-neko|conf-neko.1|pkgcfg=no|deb=neko|brew=neko|Virtual package relying on a Neko system installation
conf-netsnmp|conf-netsnmp.1.0.0|pkgcfg=no|deb=libsnmp-dev|brew=|Package relying on net-snmp libs
conf-nlopt|conf-nlopt.1|pkgcfg=yes|deb=libnlopt-dev|brew=nlopt|Virtual package relying on nlopt
conf-numa|conf-numa.0.1.0|pkgcfg=no|deb=libnuma-dev|brew=|Package relying on libnuma
conf-ode|conf-ode.1|pkgcfg=yes|deb=libode-dev|brew=ode|Virtual package relying on a ODE system installation
conf-oniguruma|conf-oniguruma.1|pkgcfg=yes|deb=libonig-dev|brew=oniguruma|Virtual package relying on an Oniguruma system installation
conf-openbabel|conf-openbabel.0.1|pkgcfg=yes|deb=libopenbabel-dev|brew=open-babel|Virtual package relying on openbabel library installation
conf-openblas|conf-openblas.0.2.2|pkgcfg=yes|deb=libopenblas-dev|brew=|Virtual package to install OpenBLAS and LAPACKE
conf-openimageio|conf-openimageio.1|pkgcfg=yes|deb=libopenimageio-dev|brew=openimageio|Virtual package relying on OpenImageIO development package installation
conf-openjdk|conf-openjdk.1|pkgcfg=no|deb=default-jdk|brew=openjdk|Virtual package relying on OpenJDK / Javac
conf-pam|conf-pam.1|pkgcfg=no|deb=libpam0g-dev|brew=|Virtual package relying on a system installation of PAM
conf-pango|conf-pango.1|pkgcfg=yes|deb=libpango1.0-dev|brew=pango|Virtual package relying on a Pango system installation
conf-plplot|conf-plplot.1|pkgcfg=yes|deb=libplplot-dev|brew=plplot|Virtual package relying on plplot
conf-portaudio|conf-portaudio.1|pkgcfg=yes|deb=portaudio19-dev|brew=portaudio|Virtual package relying on portaudio
conf-postgresql|conf-postgresql.2|pkgcfg=yes|deb=libpq-dev|brew=libpq|Virtual package relying on a PostgreSQL system installation
conf-ppl|conf-ppl.1|pkgcfg=no|deb=libppl-dev|brew=|synopsis:
conf-protoc|conf-protoc.4.4.0|pkgcfg=no|deb=libprotobuf-dev|brew=protobuf|Virtual package to install protoc compiler
conf-protoc-dev|conf-protoc-dev.1.0.0|pkgcfg=yes|deb=libprotoc-dev|brew=protobuf|Virtual package to install protobuf cpp headers
conf-pulseaudio|conf-pulseaudio.1|pkgcfg=yes|deb=libpulse-dev|brew=pulseaudio|Virtual package relying on pulseaudio
conf-python-2-7-dev|conf-python-2-7-dev.1.0|pkgcfg=no|deb=python2.7-dev|brew=|synopsis:
conf-python-3-dev|conf-python-3-dev.1|pkgcfg=no|deb=python3-dev|brew=python3|Virtual package relying on Python 3 development package installation
conf-qt|conf-qt.5.2.1|pkgcfg=yes|deb=|brew=qt5|Installation of Qt5 using APT packages or from source
conf-r-mathlib|conf-r-mathlib.1|pkgcfg=yes|deb=r-mathlib|brew=r|synopsis:
conf-rdkit|conf-rdkit.1|pkgcfg=no|deb=librdkit-dev|brew=|Virtual package relying on rdkit library installation
conf-readline|conf-readline.1|pkgcfg=no|deb=libreadline-dev|brew=readline|Virtual package relying on a readline system installation
conf-rocksdb|conf-rocksdb.1|pkgcfg=no|deb=librocksdb-dev|brew=rocksdb|Virtual package relying on a system installation of RocksDB
conf-rubberband|conf-rubberband.1|pkgcfg=yes|deb=librubberband-dev|brew=pkg-config|Virtual package relying on rubberband
conf-rust-wasm|conf-rust-wasm.1|pkgcfg=no|deb=libstd-rust-dev-wasm32|brew=|Virtual package relying on an installation of standard Rust libraries including development files, needed to cross-compile Rust programs to the wasm32-unknown-unknown and wasm32-wasip1/wasm32-wasip2 targets
conf-samplerate|conf-samplerate.1|pkgcfg=yes|deb=libsamplerate0-dev|brew=libsamplerate|Virtual package relying on samplerate
conf-sdl-gfx|conf-sdl-gfx.1|pkgcfg=yes|deb=libsdl-gfx1.2-dev|brew=sdl_gfx|Virtual package relying on a sdl-gfx system installation
conf-sdl-image|conf-sdl-image.1|pkgcfg=yes|deb=libsdl-image1.2-dev|brew=sdl_image|Virtual package relying on a sdl-image system installation
